9032,health/medical
5346,entertainment
18778,entertainment
11939,education/research
17502,tech/science
7904,health/medical
9232,education/research
21604,politics/government/law
26782,tech/science
16397,tech/science
22237,entertainment
9838,tech/science
3785,politics/government/law
24440,entertainment
18577,entertainment
20706,news/press
15883,news/press
3807,tech/science
10518,education/research
11032,entertainment
24634,politics/government/law
3579,news/press
27118,health/medical
8854,tech/science
8395,entertainment
18788,education/research
12688,politics/government/law
20009,entertainment
12673,education/research
14841,entertainment
11356,entertainment
8957,entertainment
6360,tech/science
20391,news/press
15032,education/research
3145,tech/science
23,entertainment
13795,entertainment
10539,education/research
17577,health/medical
11734,entertainment
15652,sports
20742,politics/government/law
15545,tech/science
1551,sports
21532,politics/government/law
1609,politics/government/law
15501,entertainment
25188,news/press
21840,tech/science
25776,news/press
10,health/medical
23595,health/medical
27744,entertainment
13088,sports
4257,entertainment
15469,politics/government/law
25435,sports
13242,education/research
9003,entertainment
8439,politics/government/law
12305,entertainment
19744,tech/science
4647,politics/government/law
20590,education/research
18951,tech/science
15792,politics/government/law
19292,entertainment
2016,health/medical
8134,entertainment
21635,news/press
906,entertainment
7964,entertainment
6445,tech/science
12689,tech/science
22879,tech/science
11256,entertainment
20765,education/research
1519,entertainment
22879,tech/science
6818,tech/science
2276,education/research
3343,tech/science
5271,education/research
11155,tech/science
19840,entertainment
13330,tech/science
14423,politics/government/law
24377,entertainment
24659,news/press
14110,entertainment
26707,tech/science
3779,entertainment
16787,tech/science
861,politics/government/law
7368,health/medical
745,entertainment
9094,tech/science
20767,entertainment
4849,entertainment
2798,education/research
3604,entertainment
9030,entertainment
8748,news/press
18419,politics/government/law
27570,education/research
12462,education/research
25379,sports
10809,tech/science
8388,entertainment
14348,tech/science
23815,entertainment
18099,entertainment
20146,tech/science
1496,entertainment
1653,entertainment
2977,entertainment
7328,entertainment
11185,entertainment
11223,health/medical
4492,politics/government/law
16169,news/press
12477,tech/science
26769,entertainment
21977,entertainment
5100,education/research
12426,politics/government/law
3833,entertainment
21028,entertainment
4429,entertainment
1875,entertainment
18143,entertainment
23900,entertainment
18855,health/medical
20522,education/research
25049,entertainment
6317,entertainment
6136,entertainment
22533,entertainment
7973,politics/government/law
15903,news/press
22808,tech/science
27695,tech/science
6589,tech/science
9939,entertainment
27876,entertainment
3126,sports
24268,tech/science
12099,politics/government/law
22708,entertainment
14344,politics/government/law
15642,entertainment
14657,politics/government/law
2053,entertainment
15593,politics/government/law
21354,education/research
27743,entertainment
18218,politics/government/law
13321,education/research
19414,news/press
25193,tech/science
14757,entertainment
13605,entertainment
22672,tech/science
12028,politics/government/law
3941,entertainment
17061,tech/science
20801,tech/science
27521,entertainment
20341,tech/science
22223,tech/science
12166,sports
10187,tech/science
9103,politics/government/law
13618,tech/science
13415,health/medical
1162,tech/science
8911,entertainment
8330,entertainment
7665,politics/government/law
16788,tech/science
13953,entertainment
3325,education/research
2438,education/research
21254,education/research
17972,tech/science
14463,entertainment
6692,entertainment
22507,entertainment
23604,tech/science
469,entertainment
13940,politics/government/law
15799,entertainment
1253,entertainment
20952,politics/government/law
14014,entertainment
12474,politics/government/law
13387,education/research
11812,entertainment
1471,education/research
14462,entertainment
2363,entertainment
22928,entertainment
19020,tech/science
12542,politics/government/law
17928,education/research
16189,entertainment
12729,health/medical
25613,education/research
16391,entertainment
11726,sports
20121,education/research
8200,entertainment
26767,entertainment
18954,health/medical
11415,tech/science
14208,education/research
6804,sports
22127,education/research
3119,tech/science
18835,tech/science
2168,politics/government/law
4701,education/research
13989,education/research
2488,health/medical
26848,entertainment
5464,tech/science
14138,news/press
8646,tech/science
2642,entertainment
18954,health/medical
16639,entertainment
24691,politics/government/law
13559,tech/science
20763,sports
99,tech/science
7770,tech/science
13720,entertainment
5575,tech/science
15035,entertainment
15292,sports
19476,entertainment
14713,politics/government/law
9669,politics/government/law
23760,entertainment
6605,health/medical
27941,politics/government/law
23264,entertainment
19984,entertainment
17415,health/medical
13712,entertainment
27040,sports
13325,entertainment
24157,entertainment
13038,tech/science
10667,news/press
3647,tech/science
6377,entertainment
14714,entertainment
1134,entertainment
19215,entertainment
349,entertainment
11317,education/research
3452,news/press
24074,education/research
26146,entertainment
16778,news/press
9967,entertainment
8044,education/research
20828,politics/government/law
18179,entertainment
37,education/research
7232,politics/government/law
17955,entertainment
2434,education/research
26883,tech/science
25185,sports
19638,sports
13853,politics/government/law
16702,politics/government/law
11455,entertainment
2490,entertainment
24227,education/research
16375,education/research
12819,news/press
11748,entertainment
13169,news/press
17818,news/press
6012,tech/science
27619,politics/government/law
19892,politics/government/law
27436,entertainment
26244,entertainment
27664,health/medical
27475,politics/government/law
23320,entertainment
24425,entertainment
19788,entertainment
1251,entertainment
14657,politics/government/law
9385,entertainment
6668,entertainment
7198,tech/science
9869,health/medical
22839,entertainment
7813,entertainment
2263,entertainment
4634,education/research
4608,entertainment
1730,tech/science
24633,education/research
23240,entertainment
10241,tech/science
23906,tech/science
16307,entertainment
18921,education/research
25008,health/medical
12243,tech/science
1924,politics/government/law
3513,entertainment
19370,news/press
6145,entertainment
22059,tech/science
3772,entertainment
25850,education/research
11659,politics/government/law
6671,entertainment
23916,politics/government/law
23996,entertainment
25195,entertainment
6776,tech/science
7825,entertainment
7167,tech/science
8027,tech/science
12245,news/press
13202,entertainment
16278,news/press
7919,entertainment
4329,entertainment
2002,tech/science
3545,entertainment
2642,education/research
5396,entertainment
7212,entertainment
17199,tech/science
18309,tech/science
4194,politics/government/law
2446,politics/government/law
6428,news/press
24117,tech/science
12014,entertainment
27365,news/press
26490,entertainment
17481,education/research
17476,politics/government/law
24436,tech/science
9359,tech/science
16150,entertainment
22244,tech/science
13018,entertainment
2861,entertainment
22808,tech/science
3091,sports
8441,entertainment
6345,entertainment
15852,entertainment
19792,news/press
7845,tech/science
24227,tech/science
18319,entertainment
750,politics/government/law
19203,education/research
15377,politics/government/law
19612,health/medical
5228,entertainment
14861,entertainment
22242,politics/government/law
27434,tech/science
2602,entertainment
14055,education/research
16391,entertainment
20390,news/press
5670,entertainment
16541,education/research
3849,tech/science
15489,entertainment
20375,entertainment
6330,entertainment
691,education/research
16749,news/press
1032,sports
4312,entertainment
4257,entertainment
23004,tech/science
19853,politics/government/law
12433,entertainment
1673,tech/science
25946,entertainment
4244,politics/government/law
24308,education/research
27333,entertainment
22499,tech/science
24089,entertainment
23001,health/medical
11273,tech/science
21826,entertainment
10970,entertainment
2583,tech/science
14102,entertainment
27774,education/research
11410,sports
1870,tech/science
1526,entertainment
25701,news/press
14450,politics/government/law
10736,education/research
14743,news/press
2400,tech/science
24844,entertainment
16572,tech/science
15006,entertainment
23359,politics/government/law
16054,education/research
13418,tech/science
11471,politics/government/law
20724,entertainment
12641,politics/government/law
25504,news/press
24907,entertainment
268,entertainment
27375,entertainment
13228,politics/government/law
18158,education/research
20936,entertainment
19512,entertainment
573,tech/science
15602,education/research
23006,education/research
17255,entertainment
20801,education/research
20276,entertainment
1726,news/press
13726,entertainment
27655,entertainment
16568,entertainment
12506,education/research
23106,entertainment
274,entertainment
24990,education/research
24520,news/press
24769,politics/government/law
749,entertainment
12475,entertainment
6397,tech/science
18607,education/research
9817,tech/science
844,entertainment
8952,news/press
14450,politics/government/law
7918,tech/science
10950,politics/government/law
24080,politics/government/law
2602,politics/government/law
22964,tech/science
26590,tech/science
11223,entertainment
16550,health/medical
18733,politics/government/law
651,politics/government/law
